What's your favorite candy?,What is your favorite dinner?,Cats or Dogs?,Are you currently enrolled in CSE 351?
Skittles,Chinese,Cats,Yes
Butterfinger,Beef stroganoff,Dogs,Yes
Skittles,I don't have a favourite but I usually eat pasta because I can only cook simple things lol.,Cats,Yes
Snickers,Xian Noodles,Dogs,Yes
100 grand,authentic burritos,Dogs,No
Chocolate,Chicken and rice,Dogs,Yes
See's Candies,Hot pot,Cats,No
Twix,Steak,Dogs,Yes
Sour patch,Sushi,Dogs,Yes
Sour Patch Kids,Pad Thai,Dogs,Yes
Dark chocolate,Pot pie,Dogs,Yes
Reese's Take 5,Pad thai,Dogs,Yes
FERRERO ROCHER,BUN RIEU,Dogs,Yes
butterfinger,baby back ribs,Cats,Yes
M&M,Bread,Dogs,Yes
Twix,grilled salmon,Dogs,No
twix,hot pot,Cats,No
I don't like candy that much.,Chinese food,Cats,Yes
kit kat,pizza,Dogs,Yes
Gummy Bears,Crab soup,Cats,Yes
Sour Patch Kids,Steak,Dogs,No
skittles,pasta,Dogs,Yes
KitKats,Tacos,Dogs,Yes
Twix,Lasagna,Dogs,Yes
Sour patch - Watermelon,Chipotle,Cats,No
White Rabbit creamy candy,Beef steak,Cats,No
Crunch,goi cuon,Neither,No
Anything savory!,Sushi or terriyaki,Dogs,Yes
not in favor of candies,Chinese,Cats,Yes
skittles,Miso Ramen,Cats,Yes
right Twix,sushi,Dogs,Yes
M&M's,Any type of pasta,Dogs,Yes
Skittles,Pasta,Cats,Yes
M&Ms,Pizza,Dogs,Yes
any chocolate,fajitas,Dogs,No
Kit Kat,spaghetti,Dogs,No
Reeses,Korean fried chicken,Dogs,No
KitKats,Curry,Cats,Yes
Sour Patch Kids,Rice,Cats,Yes
Sourpatch kids,Butter Chicken,Dogs,No
M&M's,Chicken Fried Steak,Dogs,Yes
Nerds,Burrito,Dogs,Yes
M&Ms,Anything asian,Neither,Yes
Mars Bars,Pasta bolognese,Dogs,No
Jolly Ranchers,Pasta,Dogs,Yes
swedish fish,curry,Cats,No
hichew,pizza,Dogs,Yes
Reece's,Pho,Dogs,Yes
M&Ms,Ice cream  that was a great day :),Dogs,Yes
cane,steak,Dogs,Yes
KitKat,Doro wet (Literal English translation: chicken sauce  way better than it sounds),Neither,Yes
Sour Patch Kids,Anything with noodles,Dogs,Yes
strawberry cream chocolate,spaghetti,Cats,Yes
Anything dark chocolate,Pasta,Cats,Yes
Reeses,Sushi,Cats,No
KitKat or Sour Gummies of any kind.,Sushi,Dogs,Yes
Blue Raspberry Laffy Taffy,... Steak and mushroms.,Neither,No
Nerds,Mac & Cheese,Dogs,Yes
Milk chocolate,Chicken fried rice,Dogs,No
kit kat,steak and potatoes,Dogs,Yes
Chocolate,Cheese burger and fries,Cats,Yes
Kit Kat,anything with noodles,Neither,Yes
Twix,Sushi,Cats,No
Warheads,couscous,Neither,Yes
Twix,Fried Rice,Cats,No
Skittles,Anything involving steak,Dogs,Yes
Zotz,Fried rice,Dogs,Yes
Crunch Bars,Udon,Dogs,No
Gummy Bears,burrito bowl from chipotle,Dogs,Yes
Sour patch kids,Mongolian Noodles,Cats,No
swedish fish,pasta,Dogs,Yes
I really like mints,I love dumplings and noodle dishes!,Dogs,Yes
Twix,Pizza,Dogs,No
I don't like candy,Anything with chicken,Dogs,No
Sour gummy worms,Spaghetti,Dogs,Yes
Buncha Crunch,Soba Noodles,Cats,No
Cotton candy,Crab legs,Neither,Yes
Reeses,My mom's lentil soup,Dogs,No
Airheads,Pizza,Dogs,Yes
Jolly Ranchers  or any other clear  sweet or sour candy,Ramen,Cats,Yes
I'm more of a gum person,Ratatouille,Dogs,Yes
Chocolate bar!,Rose pasta,Dogs,Yes
Sour patch kids,Pizza,Cats,No
Chocolate,Meat,Dogs,Yes
Sour Patch!,Sushi (or steak),Cats,Yes
Mike and Ike,Ground beef  spaghetti sauce  and rice,Cats,No
sour punches,sushi,Cats,Yes
Ice Cream Mochi,Veggie Burrito,Cats,Yes
skittles,hamberger,Cats,Yes
Reeses,Double Bacon Cheese Burger,Neither,No
Toffee,Tacos,Dogs,No
Nerds,Chicken,Cats,Yes
Sour gummy worms,Mac n cheese,Dogs,No
Gummy bears,Thai food,Dogs,Yes
chocolate,pizza,Cats,Yes
gummy candy,sushi,Dogs,Yes
Twix,Fried Rice,Dogs,No
oreos,fish stew,Dogs,No
Kit Kat,Pasta,Dogs,Yes
Haribo gummy bears,Sushi,Dogs,Yes
Pretzel M&M's,Deep Dish Pizza,Dogs,Yes
jolly ranchers,enchiladas,Cats,Yes
Skittles,Beef,Dogs,No
M&M,Steak,Cats,Yes
Pulse (Indian Mango flavored candy),Pesto Pasta,Dogs,No
mm,Shrimp,Dogs,No
Rips,Bhel,Dogs,Yes
m&m
